,League,Season,Team,Sequence,seq_len
121,Bundesliga,2006,Leverkusen,"[3, 0, 1, 0, 1, 3, 0, 0, 3, 1, 3, 0, 0, 3, 1, 3, 3, 3, 0, 0, 1, 0, 3, 3, 1, 3, 3, 0, 0, 3, 0, 0, 3, 3]",34
122,Bundesliga,2006,MGladbach,"[3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 3, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0]",34
123,Bundesliga,2006,Mainz,"[3, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 3, 3, 1, 3, 3, 3, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0]",34
124,Bundesliga,2006,Nurnberg,"[3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 3, 1, 1, 1, 3, 3, 1, 3, 3, 3, 0, 0, 1, 1, 3, 0, 3, 0, 1, 0, 0, 3]",34
125,Bundesliga,2006,Schalke 04,"[1, 3, 3, 0, 3, 0, 3, 3, 0, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 0, 3, 0, 3]",34
126,Bundesliga,2006,Stuttgart,"[0, 3, 0, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 3, 1, 3, 1, 0, 3, 3, 3, 3, 1, 0, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3]",34
127,Bundesliga,2006,Werder Bremen,"[3, 3, 0, 0, 1, 3, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 3, 0, 0, 0, 1, 3, 1, 3, 1, 3, 3, 3, 0, 3, 0, 3]",34
128,Bundesliga,2006,Wolfsburg,"[1, 1, 1, 0, 0, 3, 0, 1, 3, 3, 3, 1, 1, 1, 0, 0, 0, 0, 1, 3, 1, 1, 0, 3, 1, 3, 0, 3, 0, 0, 1, 0, 1, 0]",34
129,Bundesliga,2007,Bayern Munich,"[3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 1, 0, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 0, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3]",34
130,Bundesliga,2007,Bielefeld,"[3, 1, 3, 0, 3, 0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 1, 1, 3, 0, 3, 1, 3, 0, 1, 1]",34
131,Bundesliga,2007,Bochum,"[1, 3, 3, 0, 0, 1, 0, 1, 0, 0, 0, 3, 3, 3, 0, 1, 0, 3, 1, 0, 3, 3, 1, 1, 1, 1, 0, 1, 3, 1, 0, 0, 3, 0]",34
132,Bundesliga,2007,Cottbus,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 3, 1, 3, 0, 1, 0, 1, 0, 0, 3, 0, 3, 3, 3, 0, 3, 0, 1, 3, 0]",34
133,Bundesliga,2007,Dortmund,"[0, 0, 3, 3, 3, 0, 0, 0, 3, 1, 1, 0, 1, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 1, 1, 3, 0, 0, 1, 1, 3, 1, 0]",34
134,Bundesliga,2007,Duisburg,"[3, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 3, 0, 1, 0, 1, 3, 0, 3, 0, 1, 3, 0, 0, 0]",34
135,Bundesliga,2007,Ein Frankfurt,"[3, 1, 3, 0, 3, 1, 0, 1, 3, 0, 1, 1, 1, 0, 1, 1, 3, 3, 3, 0, 3, 0, 1, 3, 3, 3, 0, 0, 0, 1, 0, 0, 0, 3]",34
136,Bundesliga,2007,Hamburg,"[3, 3, 0, 1, 0, 3, 3, 1, 3, 3, 3, 3, 1, 3, 0, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 1, 0, 0, 1, 0, 3, 0, 0, 3]",34
137,Bundesliga,2007,Hannover,"[0, 3, 0, 3, 1, 0, 3, 3, 3, 1, 1, 3, 0, 0, 3, 3, 0, 1, 1, 0, 0, 3, 0, 1, 1, 1, 0, 3, 3, 1, 1, 3, 0, 3]",34
138,Bundesliga,2007,Hansa Rostock,"[0, 0, 0, 0, 0, 3, 3, 3, 0, 1, 1, 0, 3, 0, 0, 0, 3, 0, 1, 3, 0, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3]",34
139,Bundesliga,2007,Hertha,"[0, 3, 0, 3, 3, 3, 0, 0, 1, 0, 3, 0, 3, 0, 0, 0, 1, 0, 3, 3, 1, 3, 1, 1, 0, 0, 0, 1, 1, 1, 3, 3, 3, 0]",34
140,Bundesliga,2007,Karlsruhe,"[3, 0, 0, 3, 3, 0, 3, 3, 3, 1, 1, 3, 0, 3, 0, 1, 1, 3, 1, 1, 0, 3, 0, 0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 0]",34
141,Bundesliga,2007,Leverkusen,"[1, 0, 3, 1, 3, 3, 3, 0, 0, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 3, 0, 3, 3, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0]",34
142,Bundesliga,2007,Nurnberg,"[0, 3, 0, 1, 1, 0, 0, 1, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 3, 0, 3, 1, 1, 3, 0, 0]",34
143,Bundesliga,2007,Schalke 04,"[1, 3, 1, 1, 1, 3, 3, 3, 0, 1, 1, 0, 1, 3, 3, 1, 3, 3, 3, 0, 0, 0, 3, 3, 3, 1, 3, 0, 3, 3, 1, 3, 3, 3]",34
144,Bundesliga,2007,Stuttgart,"[1, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 3, 3, 3, 0, 3, 0, 0, 0, 3, 3, 3, 3, 1, 3, 1, 3, 0, 3, 0, 3, 0, 0, 1]",34
145,Bundesliga,2007,Werder Bremen,"[1, 0, 3, 3, 0, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 0, 1, 3, 0, 3, 0, 0, 1, 0, 3, 3, 3, 1, 3, 3, 3, 3]",34
146,Bundesliga,2007,Wolfsburg,"[0, 3, 1, 0, 0, 3, 1, 1, 3, 1, 3, 0, 0, 0, 1, 0, 3, 3, 3, 3, 1, 0, 3, 3, 1, 3, 3, 0, 0, 1, 1, 3, 3, 3]",34
147,Bundesliga,2008,Bayern Munich,"[1, 1, 3, 3, 0, 0, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 0, 3, 0, 0, 1, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 1, 3]",34
148,Bundesliga,2008,Bielefeld,"[1, 1, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 3, 1, 0, 1, 1, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",34
149,Bundesliga,2008,Bochum,"[0, 1, 0, 3, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 3, 0, 3, 1, 3, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 1]",34
150,Bundesliga,2008,Cottbus,"[0, 1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 0, 3, 0, 1, 0, 3, 1, 3, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0, 0, 0, 3]",34
151,Bundesliga,2008,Dortmund,"[3, 1, 3, 1, 0, 3, 1, 1, 1, 3, 1, 0, 3, 3, 1, 1, 3, 1, 0, 1, 1, 1, 0, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1]",34
152,Bundesliga,2008,Ein Frankfurt,"[0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 0, 3, 0, 3, 0, 0, 1, 0, 3, 0, 1, 1, 1, 3, 0, 3, 0, 0, 1, 0, 0, 0]",34
153,Bundesliga,2008,FC Koln,"[0, 1, 3, 0, 0, 3, 3, 3, 0, 0, 3, 3, 0, 0, 0, 0, 3, 1, 1, 1, 3, 1, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 1]",34
154,Bundesliga,2008,Hamburg,"[1, 3, 3, 3, 0, 3, 3, 1, 0, 3, 0, 3, 0, 3, 1, 3, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 3]",34
155,Bundesliga,2008,Hannover,"[0, 1, 0, 3, 0, 3, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 1, 3, 0, 1, 0, 3, 0, 1, 1, 0, 3, 0, 3, 3, 1, 3, 0, 1]",34
156,Bundesliga,2008,Hertha,"[3, 1, 0, 1, 3, 0, 3, 3, 1, 3, 0, 3, 3, 3, 3, 0, 3, 3, 1, 3, 0, 3, 3, 3, 0, 0, 0, 3, 3, 1, 3, 3, 1, 0]",34
157,Bundesliga,2008,Hoffenheim,"[3, 3, 0, 1, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 1, 3, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 3, 3, 1, 3]",34
158,Bundesliga,2008,Karlsruhe,"[3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 3, 3]",34
159,Bundesliga,2008,Leverkusen,"[0, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 1, 3, 0, 0, 3, 1, 1, 0, 3, 0, 0, 1, 0, 1, 3, 1, 0, 0, 3, 1, 0, 3, 0]",34
160,Bundesliga,2008,MGladbach,"[0, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 3, 3, 0, 1, 0, 0, 1, 0, 3, 3, 0, 1]",34
161,Bundesliga,2008,Schalke 04,"[3, 1, 3, 1, 3, 0, 1, 1, 1, 3, 3, 0, 0, 3, 0, 3, 1, 0, 3, 0, 1, 3, 3, 0, 0, 3, 3, 3, 3, 0, 0, 0, 1, 0]",34
162,Bundesliga,2008,Stuttgart,"[3, 0, 3, 1, 3, 0, 3, 0, 3, 0, 0, 1, 1, 0, 3, 3, 1, 3, 3, 1, 1, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0]",34
163,Bundesliga,2008,Werder Bremen,"[1, 1, 0, 3, 3, 3, 0, 1, 1, 0, 3, 1, 3, 0, 3, 0, 3, 0, 0, 1, 0, 1, 1, 3, 0, 3, 1, 0, 3, 0, 3, 3, 0, 0]",34
164,Bundesliga,2008,Wolfsburg,"[3, 1, 1, 1, 3, 0, 1, 3, 0, 3, 0, 3, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 3, 3, 3]",34
165,Bundesliga,2009,Bayern Munich,"[1, 1, 0, 3, 3, 3, 0, 1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 0, 0, 3, 1, 3, 1, 3, 3]",34
166,Bundesliga,2009,Bochum,"[1, 0, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 1, 0, 3, 3, 1, 1, 1, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",34
167,Bundesliga,2009,Dortmund,"[3, 0, 1, 1, 0, 1, 0, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 0, 3, 3, 3, 1, 3, 0, 1, 3, 1, 0]",34
168,Bundesliga,2009,Ein Frankfurt,"[3, 1, 1, 1, 3, 1, 0, 0, 3, 0, 3, 0, 0, 3, 3, 1, 1, 3, 1, 0, 3, 3, 1, 0, 0, 0, 3, 3, 3, 0, 1, 1, 0, 0]",34
169,Bundesliga,2009,FC Koln,"[0, 0, 1, 0, 0, 3, 0, 1, 3, 1, 0, 3, 0, 1, 1, 1, 3, 0, 3, 3, 1, 0, 0, 1, 1, 0, 1, 3, 0, 3, 3, 0, 1, 0]",34
170,Bundesliga,2009,Freiburg,"[1, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 3, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 1, 1, 0, 3, 3, 1, 3]",34
171,Bundesliga,2009,Hamburg,"[1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 0, 1, 0, 1, 1, 3, 3, 3, 0, 1, 1, 3, 1, 0, 3, 0, 1, 0, 1, 3, 0, 0, 3, 1]",34
172,Bundesliga,2009,Hannover,"[0, 1, 3, 0, 1, 1, 0, 3, 0, 3, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 3, 0, 0, 3, 3]",34
173,Bundesliga,2009,Hertha,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 1, 1, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 0]",34
174,Bundesliga,2009,Hoffenheim,"[1, 0, 1, 3, 3, 3, 3, 0, 0, 3, 3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 1, 0, 0, 1, 3, 3, 1]",34
175,Bundesliga,2009,Leverkusen,"[1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 1, 3, 3, 3, 3, 1, 3, 1, 1, 0, 3, 0, 0, 0, 1, 0, 3, 1, 1]",34
176,Bundesliga,2009,MGladbach,"[1, 3, 0, 3, 0, 0, 0, 0, 0, 1, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 0, 3, 1, 1, 0, 0, 1, 3, 0, 3, 0, 1, 0, 1]",34
177,Bundesliga,2009,Mainz,"[1, 1, 3, 0, 3, 3, 0, 3, 0, 3, 1, 3, 1, 1, 0, 1, 0, 0, 3, 0, 3, 1, 1, 0, 3, 3, 0, 0, 0, 3, 3, 1, 1, 1]",34
178,Bundesliga,2009,Nurnberg,"[0, 1, 0, 1, 3, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3]",34
179,Bundesliga,2009,Schalke 04,"[3, 3, 1, 0, 3, 0, 3, 3, 3, 1, 1, 1, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 0, 3, 3, 3, 1, 3, 0, 0, 3, 3, 0, 1]",34
180,Bundesliga,2009,Stuttgart,"[0, 3, 1, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 3, 1, 1]",34
181,Bundesliga,2009,Werder Bremen,"[0, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0, 3, 3, 1, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 1]",34
182,Bundesliga,2009,Wolfsburg,"[3, 3, 0, 0, 0, 3, 3, 1, 3, 1, 1, 3, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 3, 3, 3, 3, 0, 3, 3, 3, 0, 0, 1, 3]",34
183,Bundesliga,2010,Bayern Munich,"[3, 0, 1, 1, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 0, 3, 3, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 1, 3, 1, 3, 3, 3]",34
184,Bundesliga,2010,Dortmund,"[0, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 1, 1, 3, 3, 3, 0, 1, 3, 1, 3, 0, 3, 0, 3]",34
185,Bundesliga,2010,Ein Frankfurt,"[0, 0, 3, 0, 0, 3, 3, 3, 1, 3, 3, 1, 0, 0, 3, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 1, 0, 0, 0]",34
186,Bundesliga,2010,FC Koln,"[0, 0, 3, 1, 0, 1, 0, 0, 0, 3, 0, 0, 3, 1, 0, 3, 0, 1, 3, 0, 3, 3, 1, 3, 0, 3, 0, 3, 0, 0, 0, 3, 3, 3]",34
187,Bundesliga,2010,Freiburg,"[0, 3, 3, 3, 0, 0, 3, 0, 3, 0, 3, 3, 0, 0, 3, 3, 1, 1, 1, 3, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 0, 0]",34
188,Bundesliga,2010,Hamburg,"[3, 3, 1, 1, 0, 0, 3, 3, 1, 0, 3, 0, 0, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 1, 0, 0, 3, 1, 1, 1, 0, 0, 1, 1]",34
189,Bundesliga,2010,Hannover,"[3, 3, 1, 0, 3, 3, 0, 0, 3, 0, 0, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 1, 3, 3, 3, 0, 3, 0, 3, 1, 3, 0, 0, 3]",34
190,Bundesliga,2010,Hoffenheim,"[3, 3, 3, 1, 0, 1, 0, 3, 1, 3, 0, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 0, 1, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 0]",34
191,Bundesliga,2010,Kaiserslautern,"[3, 3, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 3, 3, 0, 1, 3, 1, 0, 0, 0, 1, 0, 1, 1, 3, 3, 0, 3, 0, 3, 3, 3, 3]",34
192,Bundesliga,2010,Leverkusen,"[3, 0, 1, 1, 3, 3, 1, 3, 0, 3, 3, 3, 1, 1, 3, 3, 1, 0, 3, 3, 0, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 0, 1, 3]",34
193,Bundesliga,2010,MGladbach,"[1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 1, 0, 0, 3, 0, 3, 3, 3, 1]",34
194,Bundesliga,2010,Mainz,"[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 3, 3, 0, 0, 3, 0, 0, 3, 1, 0, 0, 3, 3, 0, 1, 1, 0, 3, 1, 3, 3, 3]",34
195,Bundesliga,2010,Nurnberg,"[1, 0, 1, 1, 3, 0, 3, 0, 3, 3, 3, 0, 0, 0, 0, 1, 3, 0, 1, 3, 3, 3, 3, 1, 3, 3, 0, 0, 1, 3, 1, 0, 0, 0]",34
196,Bundesliga,2010,Schalke 04,"[0, 0, 0, 0, 3, 1, 0, 1, 1, 0, 3, 1, 3, 0, 3, 3, 3, 0, 3, 0, 1, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 0, 0, 0]",34
197,Bundesliga,2010,St Pauli,"[3, 0, 0, 1, 3, 0, 3, 3, 0, 0, 0, 0, 1, 0, 3, 0, 0, 1, 1, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",34
198,Bundesliga,2010,Stuttgart,"[0, 0, 0, 3, 0, 0, 0, 1, 3, 0, 3, 1, 0, 0, 1, 0, 0, 3, 1, 0, 3, 0, 0, 3, 3, 3, 1, 1, 0, 3, 3, 3, 3, 0]",34
199,Bundesliga,2010,Werder Bremen,"[0, 3, 1, 0, 0, 3, 1, 3, 3, 0, 0, 1, 0, 3, 1, 0, 0, 3, 0, 0, 1, 1, 0, 1, 3, 1, 3, 1, 1, 1, 3, 0, 3, 0]",34
200,Bundesliga,2010,Wolfsburg,"[0, 0, 0, 3, 3, 3, 1, 0, 0, 3, 0, 1, 1, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 1, 3, 3, 0, 3]",34
201,Bundesliga,2011,Augsburg,"[1, 1, 0, 0, 0, 1, 1, 0, 3, 1, 0, 0, 0, 3, 0, 3, 1, 0, 1, 1, 1, 0, 3, 1, 1, 3, 1, 3, 0, 0, 3, 1, 1, 3]",34
202,Bundesliga,2011,Bayern Munich,"[0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 3, 1, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3]",34
203,Bundesliga,2011,Dortmund,"[3, 0, 3, 1, 0, 0, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3]",34
204,Bundesliga,2011,FC Koln,"[0, 0, 1, 3, 0, 3, 3, 0, 3, 0, 3, 0, 0, 1, 3, 1, 0, 0, 0, 3, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0]",34
205,Bundesliga,2011,Freiburg,"[1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 1, 1, 1, 0, 0, 3, 0, 1, 0, 1, 0, 3, 1, 3, 3, 3, 1, 3, 1, 1, 3, 0]",34
206,Bundesliga,2011,Hamburg,"[0, 1, 0, 0, 0, 0, 3, 0, 3, 1, 1, 1, 3, 1, 3, 1, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 0, 3, 1, 0, 3, 1, 1, 0]",34
207,Bundesliga,2011,Hannover,"[3, 3, 1, 1, 0, 3, 1, 3, 0, 3, 0, 1, 0, 1, 1, 1, 1, 1, 3, 3, 1, 3, 0, 1, 0, 3, 0, 3, 0, 3, 0, 1, 0, 3]",34
208,Bundesliga,2011,Hertha,"[0, 1, 1, 3, 3, 1, 0, 3, 0, 1, 3, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 1, 0, 1, 0, 0, 3]",34
209,Bundesliga,2011,Hoffenheim,"[0, 3, 3, 0, 3, 3, 0, 1, 0, 3, 0, 1, 0, 1, 0, 3, 1, 1, 0, 1, 1, 1, 3, 1, 0, 0, 3, 1, 3, 3, 1, 0, 0, 0]",34
210,Bundesliga,2011,Kaiserslautern,"[0, 1, 1, 0, 0, 3, 0, 0, 3, 3, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0]",34
211,Bundesliga,2011,Leverkusen,"[0, 3, 3, 1, 3, 0, 0, 3, 1, 0, 3, 1, 3, 1, 3, 1, 0, 3, 1, 1, 0, 3, 3, 3, 0, 0, 0, 0, 1, 3, 1, 3, 3, 3]",34
212,Bundesliga,2011,MGladbach,"[3, 1, 3, 0, 3, 3, 3, 0, 1, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 1, 3, 3, 1, 0, 1, 3, 0, 0, 1, 1, 3, 0, 1, 3]",34
213,Bundesliga,2011,Mainz,"[3, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 3, 3, 1, 1, 1, 0, 0, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 0, 3, 1, 1, 1, 0]",34
214,Bundesliga,2011,Nurnberg,"[3, 0, 0, 3, 3, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 3, 3, 1, 3, 0]",34
215,Bundesliga,2011,Schalke 04,"[0, 3, 3, 3, 0, 0, 3, 3, 0, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 3, 3, 3, 1, 3, 0, 0, 1, 3, 3]",34
216,Bundesliga,2011,Stuttgart,"[3, 1, 0, 0, 3, 3, 0, 3, 3, 1, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 0, 3]",34
217,Bundesliga,2011,Werder Bremen,"[3, 0, 3, 3, 3, 1, 3, 0, 0, 1, 3, 3, 0, 3, 0, 3, 0, 1, 1, 1, 1, 3, 0, 0, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0]",34
218,Bundesliga,2011,Wolfsburg,"[3, 0, 0, 0, 3, 0, 3, 0, 3, 1, 0, 0, 3, 0, 1, 0, 3, 3, 0, 1, 3, 0, 0, 1, 3, 3, 3, 3, 0, 0, 0, 1, 3, 0]",34
219,Bundesliga,2012,Augsburg,"[0, 0, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 1, 1, 1, 0, 3, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3]",34
220,Bundesliga,2012,Bayern Munich,"[3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3]",34
221,Bundesliga,2012,Dortmund,"[3, 1, 3, 0, 1, 3, 1, 0, 3, 1, 3, 3, 3, 1, 1, 0, 3, 3, 3, 3, 0, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 0]",34
222,Bundesliga,2012,Ein Frankfurt,"[3, 3, 3, 3, 1, 3, 0, 3, 0, 1, 0, 3, 1, 0, 0, 3, 3, 0, 3, 3, 1, 0, 1, 0, 1, 0, 3, 0, 0, 3, 1, 3, 1, 1]",34
223,Bundesliga,2012,Fortuna Dusseldorf,"[3, 1, 1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 3, 0, 0, 3, 0, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",34
224,Bundesliga,2012,Freiburg,"[1, 0, 3, 1, 0, 0, 3, 3, 0, 1, 1, 3, 3, 0, 1, 3, 3, 1, 1, 0, 3, 3, 1, 1, 0, 0, 3, 3, 3, 0, 0, 3, 3, 0]",34
225,Bundesliga,2012,Greuther Furth,"[0, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 1, 0, 0, 0, 3, 0, 3, 0, 0]",34
226,Bundesliga,2012,Hamburg,"[0, 0, 0, 3, 1, 3, 3, 0, 3, 0, 1, 3, 0, 3, 1, 3, 0, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 0, 3, 3, 0, 1, 3, 0]",34
227,Bundesliga,2012,Hannover,"[1, 3, 3, 0, 3, 0, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 1, 3, 0, 1, 0, 3, 1, 0, 0, 3, 1, 0, 3]",34
228,Bundesliga,2012,Hoffenheim,"[0, 0, 0, 3, 3, 1, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 3]",34
229,Bundesliga,2012,Leverkusen,"[0, 3, 0, 1, 3, 3, 1, 1, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 1, 0, 1, 3, 1, 3, 0, 0, 3, 1, 1, 3, 3, 3, 3, 3]",34
230,Bundesliga,2012,MGladbach,"[3, 1, 0, 1, 1, 0, 3, 0, 3, 1, 3, 0, 1, 3, 1, 3, 1, 1, 3, 0, 1, 0, 1, 3, 1, 3, 0, 3, 0, 3, 0, 0, 3, 0]",34
231,Bundesliga,2012,Mainz,"[1, 0, 0, 3, 0, 3, 3, 1, 3, 0, 3, 0, 0, 3, 3, 0, 3, 1, 3, 0, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0, 1, 1, 0, 1]",34
